Type,Processed_Content,Most_Common_Words,Summary,Sentiment
Paragraph,"hezbollah also say it ha fire rocket at haifa in israel , while isra air strike reportedli kill a hama leader in northern lebanon .","[('in', 2), ('hezbollah', 1), ('also', 1), ('say', 1), ('it', 1)]", hezbollah also say it ha fire rocket at haifa in israel . while isra air strike reportedli kill a hama leader in northern lebanon .,"{'label': 'NEGATIVE', 'score': 0.989891529083252}"
Paragraph,there have been mani moment of extrem danger over the past year . thi is the worst .,"[('the', 2), ('.', 2), ('there', 1), ('have', 1), ('been', 1)]", There have been mani moments of extrem danger over the past year . thi is the worst . there have been moments of extreme danger .,"{'label': 'NEGATIVE', 'score': 0.9994064569473267}"
Paragraph,stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 .,"[('in', 2), ('the', 2), ('stefan', 1), ('norblin', 1), ('paint', 1)]", stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 . The mural was created in the style for the Maharaja of India in 1940 .,"{'label': 'POSITIVE', 'score': 0.9973188042640686}"
Paragraph,the singer say she wa `` heartbroken '' by the destruct wrought in the u by the power storm .,"[('the', 4), ('``', 2), ('by', 2), ('singer', 1), ('say', 1)]", the singer say she was ''heartbroken '' by the destruct wrought in the storm . the singer says she was 'heartbroken' by the destruction wrought by the power storm .,"{'label': 'NEGATIVE', 'score': 0.9884459972381592}"
Paragraph,"almost a year after a fake clip of a high school princip went viral , the impact on an american town linger .","[('a', 3), ('almost', 1), ('year', 1), ('after', 1), ('fake', 1)]"," A fake clip of a high school principal went viral a year ago . The impact on an american town linger . almost a year after a fake clip went viral, the impact on the town still linger .","{'label': 'POSITIVE', 'score': 0.8621326684951782}"
Paragraph,there have been mani moment of extrem danger over the past year . thi is the worst .,"[('the', 2), ('.', 2), ('there', 1), ('have', 1), ('been', 1)]", There have been mani moments of extrem danger over the past year . thi is the worst . there have been moments of extreme danger .,"{'label': 'NEGATIVE', 'score': 0.9994064569473267}"
Paragraph,"investig found a seri of safeti failur follow the accid , leav the countri shock .","[('the', 2), ('investig', 1), ('found', 1), ('a', 1), ('seri', 1)]"," Investigation found a seri of safeti failur follow the accid , leav the countri shock . Investigated found a . seri found a Seri of . safetri failur followed the . accid, leav . Leav the . shock .","{'label': 'NEGATIVE', 'score': 0.991531252861023}"
Paragraph,"a year sinc score of peopl were kill here , the collect is splinter - psycholog and physic .","[('a', 1), ('year', 1), ('sinc', 1), ('score', 1), ('of', 1)]"," The collect is splinter - psycholog and physic . a year sinc score of peopl were kill here , the collect is a splinter . Psychologists and psychologists are a key part of the collection .","{'label': 'NEGATIVE', 'score': 0.993060827255249}"
Paragraph,greg smith went viral with hi account of the assassin attempt in pennsylvania . he speak again to the bbc .,"[('the', 2), ('.', 2), ('greg', 1), ('smith', 1), ('went', 1)]", greg smith went viral with hi account of the assassin attempt in pennsylvania . he speak again to the bbc . He speaks again to discuss the attempt to kill an assassin in Pennsylvania .,"{'label': 'NEGATIVE', 'score': 0.7702133655548096}"
Paragraph,stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 .,"[('in', 2), ('the', 2), ('stefan', 1), ('norblin', 1), ('paint', 1)]", stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 . The mural was created in the style for the Maharaja of India in 1940 .,"{'label': 'POSITIVE', 'score': 0.9973188042640686}"
